;Country;EU member;Financial commitments;Humanitarian commitments;Military commitments;Total bilateral commitments;GDP (2021);GDP (EUR);Total bilateral commitments;Share in EU commitments;Share in EPF commitments;Share in EIB commitments;Share in total EU commitments;Share in total EU commitments;Total bilateral and EU assistance;Total bilateral and EU assistance;Specific weapons and equipment;Financial commitments with military purpose;;
;;;€ billion;€ billion;€ billion;€ billion;US$ billion;€ billion;% GDP;€ billion;€ billion;€ billion;€ billion;% GDP;€ billion;% GDP;€ billion;€ billion;;
;Australia;0;0.00;0.07;0.36;0.43;1.328  ;1.265  ;0.03;0.00;0.00;0.00;0.00;0.00;0.43;0.03;0.35;0.01;;
;Austria;1;0.03;0.59;0.00;0.63;433  ;413  ;0.15;0.88;0.09;0.05;1.02;0.25;1.64;0.40;0.00;0.00;;
;Belgium;1;0.00;0.09;0.14;0.24;522  ;497  ;0.05;1.04;0.11;0.10;1.26;0.25;1.50;0.30;0.14;0.00;;
;Bulgaria;1;0.00;0.00;0.24;0.24;70  ;67  ;0.36;0.19;0.01;0.00;0.21;0.31;0.45;0.67;0.24;0.00;;
;Canada;0;2.38;0.35;1.29;4.02;1.645  ;1.567  ;0.26;0.00;0.00;0.00;0.00;0.00;4.02;0.26;1.29;0.00;;
;Croatia;1;0.00;0.01;0.02;0.03;57  ;54  ;0.05;0.13;0.01;0.01;0.15;0.27;0.17;0.32;0.02;0.00;;
;Cyprus;1;0.00;0.00;0.00;0.00;25  ;23  ;0.01;0.05;0.00;0.00;0.05;0.23;0.06;0.24;0.00;0.00;;
;Czech Republic;1;0.00;0.11;0.46;0.57;245  ;234  ;0.24;0.44;0.05;0.02;0.50;0.22;1.07;0.46;0.42;0.04;;
;Denmark;1;0.06;0.10;0.56;0.72;356  ;339  ;0.21;0.76;0.07;0.05;0.89;0.26;1.61;0.47;0.56;0.00;;
;Estonia;1;0.00;0.00;0.31;0.31;31  ;29  ;1.07;0.06;0.01;0.00;0.07;0.23;0.38;1.30;0.31;0.00;;
;EU (Commission and Council);0;28.32;1.60;0.00;29.92;15.292  ;14.564  ;0.21;0.00;0.00;0.00;0.00;0.00;29.92;0.21;0.00;0.00;;
;Finland;1;0.08;0.05;0.21;0.34;270  ;257  ;0.13;0.51;0.06;0.03;0.59;0.23;0.93;0.36;0.18;0.03;;
;France;1;0.70;0.32;0.66;1.67;2.630  ;2.505  ;0.07;5.07;0.54;0.38;5.98;0.24;7.66;0.31;0.66;0.00;;
;Germany;1;1.30;2.50;2.36;6.15;3.846  ;3.663  ;0.17;6.00;0.80;0.38;7.18;0.20;13.33;0.36;2.36;0.00;;
;Greece;1;0.00;0.00;0.18;0.18;189  ;180  ;0.10;0.43;0.04;0.03;0.50;0.28;0.68;0.38;0.18;0.00;;
;Hungary;1;0.00;0.05;0.00;0.05;156  ;148  ;0.03;0.35;0.03;0.02;0.40;0.27;0.45;0.30;0.00;0.00;;
;Ireland;1;0.00;0.07;0.00;0.07;426  ;406  ;0.02;0.60;0.07;0.01;0.68;0.17;0.75;0.19;0.00;0.00;;
;Italy;1;0.31;0.05;0.66;1.02;1.889  ;1.799  ;0.06;3.65;0.39;0.38;4.42;0.25;5.44;0.30;0.66;0.00;;
;Japan;0;0.57;0.48;0.00;1.05;5.058  ;4.817  ;0.02;0.00;0.00;0.00;0.00;0.00;1.05;0.02;0.00;0.00;;
;Latvia;1;0.02;0.00;0.29;0.31;34  ;32  ;0.98;0.06;0.01;0.00;0.07;0.22;0.38;1.19;0.29;0.00;;
;Lithuania;1;0.01;0.06;0.28;0.35;57  ;54  ;0.65;0.10;0.01;0.00;0.11;0.21;0.46;0.86;0.20;0.08;;
;Luxembourg;1;0.00;0.00;0.08;0.08;73  ;70  ;0.11;0.10;0.01;0.00;0.11;0.16;0.19;0.27;0.08;0.00;;
;Malta;1;0.00;0.00;0.00;0.00;15  ;14  ;0.01;0.02;0.00;0.00;0.03;0.21;0.03;0.22;0.00;0.00;;
;Netherlands;1;0.35;0.21;0.86;1.42;914  ;870  ;0.16;2.36;0.18;0.10;2.65;0.30;4.07;0.47;0.85;0.01;;
;New Zealand;0;0.00;0.00;0.02;0.02;211  ;201  ;0.01;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.00;0.01;;
;Norway;0;0.32;0.32;0.59;1.24;362  ;345  ;0.36;0.00;0.00;0.00;0.00;0.00;1.24;0.36;0.25;0.34;;
;Poland;1;0.96;0.17;2.43;3.56;597  ;568  ;0.63;1.25;0.12;0.09;1.46;0.26;5.02;0.88;2.43;0.00;;
;Portugal;1;0.25;0.17;0.04;0.46;229  ;218  ;0.21;0.43;0.05;0.02;0.50;0.23;0.96;0.44;0.04;0.00;;
;South Korea;0;0.00;0.10;0.00;0.10;1.638  ;1.560  ;0.01;0.00;0.00;0.00;0.00;0.00;0.10;0.01;0.00;0.00;;
;Romania;1;0.00;0.01;0.00;0.01;249  ;237  ;0.00;0.50;0.05;0.01;0.56;0.24;0.57;0.24;0.00;0.00;;
;Slovakia;1;0.00;0.01;0.22;0.22;105  ;100  ;0.22;0.28;0.02;0.01;0.30;0.30;0.53;0.53;0.22;0.00;;
;Slovenia;1;0.00;0.00;0.06;0.06;54  ;51  ;0.12;0.11;0.01;0.01;0.12;0.24;0.19;0.36;0.06;0.00;;
;Spain;1;0.20;0.10;0.08;0.39;1.281  ;1.220  ;0.03;3.55;0.26;0.23;4.04;0.33;4.43;0.36;0.08;0.00;;
;Sweden;1;0.15;0.11;0.55;0.80;541  ;515  ;0.16;1.00;0.11;0.07;1.18;0.23;1.99;0.39;0.39;0.16;;
;Switzerland;0;0.06;0.18;0.00;0.24;752  ;716  ;0.03;0.00;0.00;0.00;0.00;0.00;0.24;0.03;0.00;0.00;;
;Turkey;0;0.00;0.00;0.06;0.06;720  ;686  ;0.01;0.00;0.00;0.00;0.00;0.00;0.06;0.01;0.06;0.00;;
;United Kingdom;0;3.02;0.40;4.89;8.31;2.760  ;2.628  ;0.32;0.00;0.00;0.00;0.00;0.00;8.31;0.32;4.89;0.00;;
;United States;0;25.11;3.72;44.34;73.18;20.953  ;19.955  ;0.37;0.00;0.00;0.00;0.00;0.00;73.18;0.37;44.34;0.00;;
;China;0;0.00;0.00;0.00;0.00;14.723  ;14.022  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;Taiwan;0;0.00;0.07;0.00;0.07;612  ;583  ;0.01;0.00;0.00;0.00;0.00;0.00;0.07;0.01;0.00;0.00;;
;India;0;0.00;0.00;0.00;0.00;2.660  ;2.534  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;Total;.;64.21;12.08;62.24;138.53;84.006;80.006;.;29.92;3.10;2.00;35.02;.;173.55;.;61.57;0.67;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
